nombre_estacion,cantidad_recorridos
"HOSPITAL RIVADAVIA",9
"PARQUE SAAVEDRA",9
CABELLO,9
"AIME PAINÉ",9
BRASIL,9
"ARENALES Y AGUERO",9
"PERÓN Y ACUÑA DE FIGUEROA",9
RAVIGNANI,9
"LAS CASAS",9
"SOLAR DE LA ABADÍA",9
"SAN MARTIN",9
"EVA PERÓN",9
"PLAZA DON BOSCO",9
URUGUAY,8
"HOSPITAL DE CLÍNICAS",8
HUMAHUACA,8
"JORGELINA DE SIMONE",8
"RIVADAVIA Y 9 DE JULIO",8
"MARGARIÑOS CERVANTES",8
"PLAZA EXODO JUJEÑO",8
"CIUDAD UNIVERSITARIA I",8
LUNA,8
"PLAZA LUCIO DEMARE",8
"PLAZA DE LA BANDERA",8
"PARQUE ONEGA",8
"PASEO DE LA COSTANERA",8
"PLAZA FELIX LIMA",8
"HOSPITAL RAMOS MEJIA",7
"CASA SAN",7
"HOSPITAL ARGERICH",7
"UNIVERSIDAD DI TELLA",7
"PLAZA BRUNO GIORDANO",7
HOLMBERG,7
"HOSPITAL ALVAREZ",7
SUPERÍ,7
"PARQUE DE LAS CIENCIAS",7
"PLAZA SUDAMERICA",7
"PLAZA RAVIGNANI",7
"FACULTAD DE MEDICINA",6
MAIPÚ,6
GUAYAQUIL,6
"CLAUDIA PÍA BAUDRACCO",6
"PLAZA RAFAEL HERNANDEZ",6
PUAN,6
ESPINOSA,6
GAVILÁN,6
"AV. LA PLATA",6
"SEC. DE INNOVACION Y TRANSFORMACIÓN",6
"AVENIDA CRAMER",6
"COMUNA 13",6
OBELISCO,5
"PLAZA VICENTE LOPEZ",5
MONTEVIDEO,5
VALLE,5
GÚZMAN,5
"9 DE JULIO",5
"COSTA RICA",5
"PLAZA 24 DE SEPTIEMBRE",5
PASTEUR,5
"PEDRO ECHAGUE",5
TAMBORINI,5
CALIFORNIA,5
BEAUCHEF,5
"SIMON BOLIVAR",5
"SUCRE Y MARTINEZ",5
BELAUSTEGUI,5
"PLAZA ECHEVERRIA",5
"PLAZA 25 DE AGOSTO",5
"EMILIO LAMARCA",5
"AV. DEL LIBERTADOR",5
"PLAZOLETA BENEDIT",5
ALSINA,4
"CENTRO DE EXPOSICIONES",4
"33 ORIENTALES",4
BELGRANO,4
AYACUCHO,4
AGUERO,4
"TORRE MACRO",4
"CLUB EXCURSIONISTAS",4
"HOSPITAL ALVEAR",4
"VILLA OLÍMPICA",4
"TRONADOR Y GARCÍA DEL RÍO",4
"CERRETTI Y MANUELA PEDRAZA",4
"PLAZA CD DE BANFF",4
"PARQUE CHAS",4
"INSTITUTO POLITÉCNICO MODELO",4
"AV. ELCANO",4
ALMAGRO,4
"BIBLIOTECA NACIONAL",4
"COLONIA EXPRESS",3
SALCEDO,3
"HOSPITAL GARRAHAN",3
"JUAN MANUEL DE BLANES",3
"JOSÉ MARMOL",3
"PLAZA REPÚBLICA DE ECUADOR",3
HUSARES,3
"PLAZA ZAPIOLA",3
"PLAZA DON SEGUNDO SOMBRA",3
"PLAZA DR. JUAN B. TERAN",3
JURAMENTO,3
BEIRO,3
"PLAZA J.J. PASO",3
"PLAZA MARTIN RODRIGUEZ",3
"JOSE ARTIGAS",3
"PLAZA EJERCITO DE LOS ANDES",3
ALLENDE,3
CERRETTI,3
"FILOSOFIA Y LETRAS",3
"SAN ISIDRO LABRADOR",3
RAFAELA,3
"AV. FOREST",3
"LAS CAÑITAS",3
"ESCUELA RAGGIO",3
"JORGE NEWBERY",3
"CASA ROSADA",3
"ALVEAR TENIS CLUB",3
"UNIVERSIDAD DEL SALVADOR",3
HONDURAS,3
"BENITO JUAREZ",2
"PLAZA JOSE C PAZ",2
RIGLOS,2
CULPINA,2
"LA PATERNAL",2
"PLAZA RAMON FALCON",2
NAVARRO,2
BIARRITZ,2
FRANKLIN,2
"PARQUE SARMIENTO II",2
"VELEZ SARSFIELD",2
"SAN MARTIN II",2
AEROPARQUE,2
"TEATRO COLÓN",2
"COMUNA 7",2
"JARDIN BOTANICO",2
"SOLDADO DE LA FRONTERA",1
"HOSPITAL BRITANICO",1
"PARQUE AVELLANEDA II",1
"FACULTAD DE PSICOLOGIA",1
"PLAZA BENITO NAZAR",1
"ESTACION VILLA LURO",1
"PLAZA MARCOS SASTRE",1
"BALBIN II",1
"VENANCIO FLORES",1
"UTN II",1
"AGRONOMIA II",1
"ESTACIÓN LUGANO",1
CAMPANA,1
"JOSÉ MARTÍ",1
"PLAZA DE LA MISERICORDIA",1
"MARTÍ Y DIRECTORIO",1
"LAS VICTORIAS",1
COGHLAN,1
HUAURA,1
"PLAZA ALBERDI",1
"HOSPITAL TORNU",1
"EL LIBERTADOR",1
"PASEO DE LA COSTANERA II",1
"AVENIDA TRIUNVIRATO",1
"NICASIO OROÑO",1
HABANA,1
MORÓN,1
"JOSE AMALFITANI",1
"HONORIO PUEYRREDON",1
DEVOTO,1
"RUIZ HUIDOBRO",1
"UBA SOCIALES",1
ALMAFUERTE,1
QUESADA,1
"HIPODROMO DE PALERMO",1
PICO,1
